"variable","in_raking","collapse_version","label","n_sample","pct_sample","pct_target","pct_raked"
"sex",TRUE,"原始","男性",1622,51.85,50.66,51.04
"sex",TRUE,"原始","女性",1506,48.15,49.34,48.96
"age",TRUE,"A2","20至29歲",810,25.9,14.16,15.31
"age",TRUE,"A2","30至39歲",995,31.81,16.65,18.01
"age",TRUE,"A2","40至49歲",845,27.01,20.8,22.49
"age",TRUE,"A2","50至59歲",326,10.42,18.4,19.9
"age",TRUE,"A2","60歲及以上",152,4.86,29.99,24.3
"edu",TRUE,"B","高中職及以下",356,11.38,45.5,45.29
"edu",TRUE,"B","專科",289,9.24,11.8,10.99
"edu",TRUE,"B","大學及以上",2483,79.38,42.7,43.72
"arear",TRUE,"A","北北基宜蘭區",1298,41.5,32.28,31.69
"arear",TRUE,"A","桃竹苗區",473,15.12,16.67,17.28
"arear",TRUE,"A","中彰投區",507,16.21,18.85,18.94
"arear",TRUE,"A","雲嘉南區",381,12.18,14.37,14.04
"arear",TRUE,"A","高屏區",425,13.59,15.4,15.52
"arear",TRUE,"A","花東區",44,1.41,2.43,2.52
"ethnicity",FALSE,"4class","本省客家人",255,8.15,10.25,9.11
"ethnicity",FALSE,"4class","本省閩南人",2586,82.67,78.57,79.2
"ethnicity",FALSE,"4class","大陸各省市",266,8.5,9.2,10.8
"ethnicity",FALSE,"4class","其他",21,0.67,1.98,0.9
"party_kmt",TRUE,"C","0-4 冷淡",1918,61.32,42.94,42.1
"party_kmt",TRUE,"C","5 中間",594,18.99,30.8,31.97
"party_kmt",TRUE,"C","6-10 溫暖",616,19.69,26.26,25.93
"party_dpp",TRUE,"C","0-4 冷淡",1740,55.63,40.07,38.4
"party_dpp",TRUE,"C","5 中間",541,17.3,25.87,27.06
"party_dpp",TRUE,"C","6-10 溫暖",847,27.08,34.07,34.54
"party_tpp",TRUE,"C","0-4 冷淡",1587,50.74,50.74,49.4
"party_tpp",TRUE,"C","5 中間",709,22.67,29.77,30.48
"party_tpp",TRUE,"C","6-10 溫暖",832,26.6,19.49,20.11
